Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Income_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Card_Category_Blue,Card_Category_Gold,Card_Category_Platinum,Card_Category_Silver,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Unknown
1,45,1,3,1,2,39,5,1,3,9.448727152703086,777,9.385553389532843,0.8480118911208606,7.0431599159883405,42,0.965080896043587,0.05921185963184603,True,False,False,False,False,True,False,False
1,49,0,5,3,-1,44,6,1,2,9.01881660441743,864,8.9082888855571,0.932557704338027,7.163946684342547,33,1.5505368045139394,0.09984533496971612,True,False,False,False,False,False,True,False
1,51,1,3,3,3,36,4,1,0,8.137103389639302,0,8.137103389639302,1.2792657883613672,7.543273346705446,20,1.2038727993256026,0.0,True,False,False,False,False,True,False,False
1,40,0,4,1,-1,34,3,4,1,8.105911197986508,2517,6.680854678790215,0.8775499035577246,7.066466970136958,20,1.2038727993256026,0.5653138090500605,True,False,False,False,False,False,False,True
1,40,1,3,-1,2,21,5,1,0,8.458928283284262,0,8.458928283284262,1.155307632344655,6.705639094860003,28,1.252762968495368,0.0,True,False,False,False,False,True,False,False
1,44,1,2,3,1,36,3,1,2,8.296795865770052,1247,7.92443418488756,0.8654184015003984,6.9930151229329605,24,0.6130211360806604,0.27079020478156274,True,False,False,False,False,True,False,False
1,51,1,4,0,4,46,6,1,3,10.44920723527944,2264,10.381366341153338,1.0902440389975931,7.193685818395112,31,0.543486406005539,0.06391332574365285,False,True,False,False,False,True,False,False
1,32,1,0,1,2,27,2,2,2,10.277874705073431,1396,10.22868214924768,1.1644000292061127,7.338888133838879,36,0.538829820175588,0.04688358589885046,False,False,False,True,False,False,False,True
1,37,1,3,-1,2,36,5,2,0,10.014715819221838,2517,9.895253747609024,1.4713246103044662,7.208600337960199,24,0.7802418874108791,0.10705907229340778,True,False,False,False,False,False,True,False
1,48,1,2,3,3,36,6,3,3,9.363662136919832,1677,9.20833836930551,0.9258449446789667,7.273786317844895,32,0.632335041163188,0.13453089295760606,True,False,False,False,False,False,True,False
1,42,1,5,-1,4,31,5,3,2,8.817149624743406,1467,8.572060092857077,0.6048622656923737,7.091742115095153,42,0.5187937934151676,0.19638881400539018,True,False,False,False,False,False,False,True
1,65,1,1,0,1,54,6,2,3,9.115590035430372,1587,8.923857580099885,0.8891250638013855,7.181591944611865,26,0.8603550995438517,0.16041672140590466,True,False,False,False,False,True,False,False
1,56,1,1,2,3,36,3,6,0,9.371778717853713,0,9.371778717853713,1.480922490198673,7.3395376954076745,17,1.4469189829363254,0.0,True,False,False,False,False,False,True,False
1,35,1,3,3,2,30,5,1,3,9.053452616439039,1666,8.836664586357426,0.7714961469709218,7.179307969504034,33,1.0986122886681098,0.17814618538347404,True,False,False,False,False,False,False,True
1,57,0,2,3,-1,48,5,2,2,7.798523053625206,680,7.471363088187097,0.7839015438284094,7.359467638255621,29,0.47685510419483734,0.24607852259670557,True,False,False,False,False,True,False,False
1,44,1,4,0,3,37,5,1,2,8.351138607086154,972,8.09040229659332,0.9958410106321641,7.207118856207756,27,0.9932517730102834,0.20701416938432612,True,False,False,False,False,False,False,True
1,48,1,4,4,3,36,6,2,3,10.321144701409654,2362,10.240174051915723,0.9962103550500286,7.421775793644647,27,0.6570017339235921,0.07510747248680548,True,False,False,False,False,False,True,False
1,41,1,3,0,3,34,4,4,1,9.513108081846005,1291,9.412872969386267,0.5025918188388871,6.9363427358340495,21,0.965080896043587,0.09075436326846412,True,False,False,False,False,True,False,False
1,61,1,1,1,1,56,2,2,3,8.069029328774958,2517,6.517671272912275,1.0406300061297626,7.198183577101943,30,0.7622067164914399,0.5810976767513224,True,False,False,False,False,True,False,False
1,45,0,2,3,0,37,6,1,2,9.579901925737992,1157,9.496571392160648,0.6760010217249748,7.0967213784947605,21,0.6465795447436106,0.0769610411361284,True,False,False,False,False,True,False,False
1,47,1,1,5,2,42,5,2,0,9.951324881950288,1800,9.86162334843743,0.6450068052320105,7.072421900537371,27,0.6570017339235921,0.08250122151174377,True,False,False,False,True,False,False,False
0,62,0,0,3,-1,49,2,3,3,7.271912163268625,0,7.271912163268625,0.7163753066791523,6.541029999189903,16,0.47000362924573563,0.0,True,False,False,False,False,True,False,False
